City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,el granada,37.5027,-122.4694,53.91,59,20,9.22,US,1732815177
1,puerto natales,-51.7236,-72.4875,59.45,47,40,20.71,CL,1732815178
2,kruisfontein,-34.0033,24.7314,58.5,75,15,6.85,ZA,1732815179
3,uturoa,-16.7333,-151.4333,80.67,74,100,11.05,PF,1732815134
4,colonia,50.9333,6.95,45.25,82,75,8.05,DE,1732815181
5,olonkinbyen,70.9221,-8.7187,12.76,73,100,36.93,SJ,1732815115
6,sandpoint,48.2766,-116.5533,33.71,91,100,1.01,US,1732814997
7,arkalyk,50.2486,66.9114,18.16,91,8,3.58,KZ,1732815184
8,namtsy,62.7161,129.6658,-1.05,98,100,3.29,RU,1732815185
9,invercargill,-46.4,168.35,50.02,73,8,8.99,NZ,1732815110
10,longyearbyen,78.2186,15.6401,8.44,66,20,21.85,SJ,1732815188
11,vorgashor,67.5833,63.95,1.29,100,89,5.21,RU,1732815189
12,berezovyy,51.6667,135.7,0.19,98,75,4.21,RU,1732815190
13,grytviken,-54.2811,-36.5092,36.27,74,72,14.36,GS,1732815109
14,nar'yan-mar,67.6713,53.087,20.12,93,100,6.49,RU,1732815192
15,kerikeri,-35.2268,173.9474,51.91,91,4,3.51,NZ,1732815193
16,yellowknife,62.456,-114.3525,-14.28,76,100,5.75,CA,1732815194
17,edinburgh of the seven seas,-37.0676,-12.3116,60.58,89,98,22.32,SH,1732815119
18,thompson,55.7435,-97.8558,8.76,85,75,2.3,CA,1732815122
19,coahuayana de hidalgo,18.7,-103.6583,86.61,60,6,5.48,MX,1732815198
20,lodja,-3.4833,23.4333,69.31,98,20,0.83,CD,1732815199
21,taounate,34.5,-4.8333,72.61,35,9,0.78,MA,1732815200
22,ushuaia,-54.8,-68.3,53.26,54,0,20.71,AR,1732814942
23,touros,-5.1989,-35.4608,83.19,59,57,15.32,BR,1732815051
24,puerto ayora,-0.7393,-90.3518,72.55,90,86,7.0,EC,1732815205
25,elk city,35.412,-99.4043,43.02,56,0,5.75,US,1732815206
26,lihue,21.9789,-159.3672,72.99,68,40,14.97,US,1732815207
27,ancud,-41.8697,-73.8203,55.83,66,63,11.12,CL,1732815126
28,dalandzadgad,43.5708,104.425,29.35,54,3,3.2,MN,1732815209
29,aktau,43.65,51.2,45.18,81,100,8.93,KZ,1732815210
30,bethel,41.3712,-73.414,46.72,93,100,1.01,US,1732815211
31,isafjordur,66.0755,-23.124,17.64,57,40,11.5,IS,1732815212
32,fort st. john,56.2499,-120.8529,-0.51,78,100,9.22,CA,1732815214
33,st. john's,47.5649,-52.7093,40.96,89,75,6.91,CA,1732815116
34,oyama,36.3,139.8,49.8,39,0,4.76,JP,1732815216
35,hawaiian paradise park,19.5933,-154.9731,69.89,95,75,5.75,US,1732815114
36,hamilton,39.1834,-84.5333,42.75,82,100,8.05,US,1732815218
37,lata,40.1629,-8.3327,55.49,71,92,8.08,PT,1732815219
38,tadine,-21.55,167.8833,71.87,82,99,11.12,NC,1732815145
39,west island,-12.1568,96.8225,82.38,89,40,9.22,CC,1732815221
40,bikenibeu village,1.3673,173.1241,82.36,83,75,4.61,KI,1732815152
41,adamstown,-25.066,-130.1015,72.27,76,99,13.53,PN,1732815224
42,jizzax,40.1158,67.8422,59.68,57,100,8.05,UZ,1732815225
43,eyl,7.9803,49.8164,79.2,74,98,13.27,SO,1732815226
44,ilulissat,69.2167,-51.1,19.42,63,75,18.41,GL,1732815227
45,port-aux-francais,-49.35,70.2167,38.41,75,12,34.83,TF,1732815228
46,mili,6.0815,171.735,82.13,81,98,17.6,MH,1732815229
47,rawson,-43.3002,-65.1023,68.29,30,40,9.22,AR,1732815070
48,port mathurin,-19.6833,63.4167,76.23,77,30,21.32,MU,1732815232
49,margaret river,-33.95,115.0667,63.36,43,19,13.0,AU,1732815233
50,arar,30.9753,41.0381,53.62,37,0,4.61,SA,1732815234
51,keflavik,64.0049,-22.5624,21.63,68,20,21.85,IS,1732815235
52,shiyan,32.6475,110.7781,41.16,49,0,6.08,CN,1732815236
53,vadso,70.0744,29.7487,26.76,68,20,12.66,NO,1732815137
54,albany,42.6001,-73.9662,33.26,80,100,4.76,US,1732815239
55,anadyr,64.75,177.4833,30.7,86,75,4.47,RU,1732815240
56,namibe,-15.1961,12.1522,74.01,78,90,8.84,AO,1732815241
57,manaure,11.7751,-72.4445,86.61,67,53,6.6,CO,1732815242
58,tolanaro,-25.0319,46.9987,80.67,78,40,4.61,MG,1732815243
59,amarpatan,24.3167,80.9833,58.51,43,38,1.74,IN,1732815244
60,jamestown,42.097,-79.2353,38.01,97,100,9.22,US,1732815246
61,crane,31.3974,-102.3501,50.85,45,100,10.22,US,1732815247
62,castillos,-34.1667,-53.8333,74.26,42,100,10.8,UY,1732815248
63,alotau,-10.3069,150.4462,77.9,93,100,1.16,PG,1732815163
64,san antonio de pale,-1.4014,5.6325,79.95,79,88,6.51,GQ,1732815250
65,tiksi,71.6872,128.8694,7.41,77,100,12.01,RU,1732815251
66,chake chake,-5.2459,39.7666,79.9,83,58,8.57,TZ,1732815252
67,brookings,44.3114,-96.7984,18.45,84,100,17.27,US,1732815212
68,azangaro,-14.9167,-70.2167,64.96,30,100,0.67,PE,1732815254
69,bilibino,68.0546,166.4372,-6.45,99,79,3.69,RU,1732815256
70,palmer,42.1584,-72.3287,42.31,79,100,8.05,US,1732815257
71,maputo,-25.9653,32.5892,74.88,60,20,21.85,MZ,1732815242
72,wembley,-31.9333,115.8,75.02,31,0,14.97,AU,1732815259
73,el calafate,-50.3408,-72.2768,59.16,44,86,14.07,AR,1732815260
74,marsh harbour,26.5412,-77.0636,77.94,72,13,5.64,BS,1732815261
75,mejit,10.2753,170.8646,82.56,72,78,20.78,MH,1732815262
76,chom thong,18.4174,98.6743,69.64,88,29,1.79,TH,1732815263
77,kill devil hills,36.0307,-75.676,68.99,77,100,14.97,US,1732815264
78,college,64.8569,-147.8028,-28.93,68,0,4.61,US,1732815265
79,nemuro,43.3236,145.575,42.37,76,24,9.33,JP,1732815086
80,tantou,26.0314,119.5986,55.17,41,0,8.95,CN,1732815268
81,gaiman,-43.2897,-65.4929,68.2,25,92,12.21,AR,1732815270
82,papatowai,-46.5619,169.4708,47.55,68,28,12.48,NZ,1732815271
83,kingston,17.997,-76.7936,77.16,94,75,23.02,JM,1732815004
84,port elizabeth,-33.918,25.5701,65.32,75,75,12.66,ZA,1732815116
85,hithadhoo,-0.6,73.0833,82.22,81,80,20.18,MV,1732815275
86,i-n-salah,27.1935,2.4607,66.92,18,0,10.56,DZ,1732815157
87,navia,43.5354,-6.7194,57.79,77,19,4.79,ES,1732815277
88,tannum sands,-23.9504,151.3693,75.09,94,75,5.75,AU,1732815278
89,broken hill,-31.95,141.4333,68.23,53,30,14.65,AU,1732815279
90,kokopo,-4.352,152.2633,77.18,82,34,3.94,PG,1732815280
91,nizhneangarsk,55.7833,109.55,22.57,94,100,3.47,RU,1732815282
92,punta arenas,-53.15,-70.9167,57.31,47,40,23.02,CL,1732815284
93,hasaki,35.7333,140.8333,56.32,46,0,20.36,JP,1732815285
94,khandyga,62.6667,135.6,2.7,97,100,1.95,RU,1732815286
95,lamar,33.6668,-95.5836,42.89,69,0,13.8,US,1732815287
96,kayangel,8.0823,134.7173,77.11,95,100,4.76,PW,1732815288
97,caleta de carquin,-11.0925,-77.6267,71.73,75,82,9.78,PE,1732815289
98,ribeira grande,38.5167,-28.7,66.6,77,40,18.41,PT,1732815290
99,acarau,-2.8856,-40.12,85.17,58,57,19.98,BR,1732815291
100,lamu,-2.2717,40.902,81.25,84,45,10.36,KE,1732815292
101,debre werk',10.6667,38.1667,57.96,68,29,7.9,ET,1732815294
102,karaj,35.8355,51.0103,35.38,41,0,6.91,IR,1732815295
103,port moresby,-9.4431,147.1797,80.02,94,40,5.75,PG,1732815296
104,praia da vitoria,38.7333,-27.0667,70.05,64,40,10.2,PT,1732815297
105,tralee,52.2704,-9.7026,59.25,94,75,6.91,IE,1732815298
106,miandrivazo,-19.5167,45.4667,84.49,71,68,5.28,MG,1732815299
107,newman,37.3138,-121.0208,49.05,70,1,3.0,US,1732815300
108,paita,-5.0892,-81.1144,74.08,68,77,13.56,PE,1732815166
109,brigantine,39.4101,-74.3646,55.6,98,100,11.5,US,1732815303
110,nepanagar,21.4667,76.4,62.67,44,100,4.92,IN,1732815304
111,san pedro pochutla,15.7333,-96.4667,88.72,42,0,3.74,MX,1732815305
112,fort bragg,35.139,-79.006,69.64,81,75,20.71,US,1732815306
113,luganville,-15.5333,167.1667,79.21,84,99,7.09,VU,1732815307
114,ulanhot,46.0833,122.0833,15.33,71,80,12.24,CN,1732815308
115,wailua homesteads,22.0669,-159.378,72.39,68,40,14.97,US,1732815121
